size,mpi,threads,time
10000,64,1,4.132563
10000,64,1,4.118205
10000,64,1,4.104786
10000,64,1,4.100731
10000,65,1,4.094257
10000,65,1,4.106273
10000,65,1,4.088794
10000,65,1,4.090596
10000,65,1,4.077395
10000,66,1,4.076852
10000,66,1,4.073382
10000,66,1,4.084735
10000,66,1,4.099377
10000,66,1,4.073957
10000,67,1,4.056055
10000,67,1,4.062601
10000,67,1,4.063491
10000,67,1,4.068456
10000,67,1,4.084518
10000,68,1,4.063417
10000,68,1,4.082140
10000,68,1,4.069446
10000,68,1,4.088580
10000,68,1,4.073477
10000,69,1,4.071608
10000,69,1,4.075905
10000,69,1,4.074546
10000,69,1,4.096893
10000,69,1,4.082015
10000,70,1,4.094711
10000,70,1,4.082820
10000,70,1,4.079218
10000,70,1,4.073407
10000,70,1,4.075221
10000,71,1,4.044643
10000,71,1,4.146351
10000,71,1,4.037090
10000,71,1,4.050331
10000,71,1,4.030243
10000,72,1,4.024722
10000,72,1,4.021369
10000,72,1,4.033205
10000,72,1,4.021098
10000,72,1,4.017373
10000,73,1,4.047910
10000,73,1,4.036020
10000,73,1,4.036439
10000,73,1,4.040441
10000,73,1,4.018472
10000,74,1,4.022755
10000,74,1,4.030592
10000,74,1,4.018939
10000,74,1,4.023234
10000,74,1,4.022319
10000,75,1,4.014370
10000,75,1,4.035519
10000,75,1,4.016953
10000,75,1,4.019276
10000,75,1,4.029830
10000,76,1,4.012514
10000,76,1,4.016405
10000,76,1,4.015616
10000,76,1,4.034551
10000,76,1,4.022894
10000,77,1,4.002336
10000,77,1,4.026331
10000,77,1,4.008096
10000,77,1,4.007709
10000,77,1,4.004814
10000,78,1,4.009815
10000,78,1,4.008323
10000,78,1,3.996643
10000,78,1,4.001935
10000,78,1,4.022671
10000,79,1,3.997177
10000,79,1,4.002296
10000,79,1,4.022708
10000,79,1,4.005551
10000,79,1,4.010390
10000,80,1,4.003184
10000,80,1,4.010165
10000,80,1,4.039099
10000,80,1,4.004439
10000,80,1,4.001166
10000,81,1,3.994883
10000,81,1,4.012804
10000,81,1,3.984384
10000,81,1,3.986707
10000,81,1,3.995509
10000,82,1,3.977279
10000,82,1,3.991367
10000,82,1,4.019317
10000,82,1,3.982226
10000,82,1,3.984142
10000,83,1,3.984050
10000,83,1,3.988239
10000,83,1,3.989321
10000,83,1,3.991963
10000,83,1,3.979588
10000,84,1,3.976883
10000,84,1,3.991174
10000,84,1,4.056210
10000,84,1,3.977155
10000,84,1,3.980533
10000,85,1,3.978203
10000,85,1,3.998163
10000,85,1,4.037283
10000,85,1,3.980555
10000,85,1,3.984380
10000,86,1,3.979655
10000,86,1,3.979907
10000,86,1,3.966537
10000,86,1,3.967590
10000,86,1,3.970595
10000,87,1,3.967309
10000,87,1,3.968174
10000,87,1,3.972228
10000,87,1,3.988371
10000,87,1,3.986874
10000,88,1,3.974548
10000,88,1,3.963078
10000,88,1,3.965095
10000,88,1,3.974387
10000,88,1,3.962844
10000,89,1,3.964741
10000,89,1,3.966302
10000,89,1,3.960380
10000,89,1,3.963574
10000,89,1,3.978917
10000,90,1,3.972700
10000,90,1,3.959149
10000,90,1,3.956056
10000,90,1,3.962704
10000,90,1,3.963931
10000,91,1,3.971374
10000,91,1,3.986273
10000,91,1,3.972165
10000,91,1,3.961903
10000,91,1,3.958633
10000,92,1,3.971179
10000,92,1,3.969479
